1,862,Movie Title : Toy Story,Release Date : 11/22/1995 (US),Runtime : 1h 21m,"Genres : Animation,Adventure,Family,Comedy",Director : John Lasseter,Original Language : English,"Budget : $373,554,033.00","Introduction : Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences."
2,8844,Movie Title : Jumanji,Release Date : 12/15/1995 (US),Runtime : 1h 44m,"Genres : Adventure,Fantasy,Family",Director : Joe Johnston,Original Language : English,"Budget : $262,797,249.00","Introduction : When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures."
3,15602,Movie Title : Grumpier Old Men,Release Date : 12/22/1995 (US),Runtime : 1h 41m,"Genres : Romance,Comedy","Characters, Writer : Mark Steven Johnson",Original Language : English,"Budget : $71,500,000.00","Introduction : A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max."
4,31357,Movie Title : Waiting to Exhale,Release Date : 12/22/1995 (US),Runtime : 2h 7m,"Genres : Comedy,Drama,Romance","Novel, Screenplay : Terry McMillan",Original Language : English,"Budget : $81,452,156.00","Introduction : Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe."
5,11862,Movie Title : Father of the Bride Part II,Release Date : 12/08/1995 (US),Runtime : 1h 46m,"Genres : Comedy,Family",Director : Charles Shyer,Original Language : English,"Budget : $76,594,107.00","Introduction : Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife is expecting too. He was planning on selling their home, but that's a plan that—like George—will have to change with the arrival of both a grandchild and a kid of his own."
6,949,Movie Title : Heat,Release Date : 12/15/1995 (US),Runtime : 2h 50m,"Genres : Action,Crime,Drama,Thriller","Director, Screenplay : Michael Mann",Original Language : English,"Budget : $187,436,818.00",Introduction : Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.
7,11860,Movie Title : Sabrina,Release Date : 12/15/1995 (US),Runtime : 2h 7m,"Genres : Comedy,Romance",Director : Sydney Pollack,Original Language : English,"Budget : $53,672,080.00","Introduction : An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it."
8,45325,Movie Title : Tom and Huck,Release Date : 12/22/1995 (US),Runtime : 1h 37m,"Genres : Family,Action,Adventure,Drama",Director : Peter Hewitt,Original Language : English,"Budget : $23,920,048.00","Introduction : A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence."
9,9091,Movie Title : Sudden Death,Release Date : 12/22/1995 (US),Runtime : 1h 46m,"Genres : Action,Adventure,Thriller,Drama",Director : Peter Hyams,Original Language : English,"Budget : $64,350,171.00",Introduction : When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.
10,710,Movie Title : GoldenEye,Release Date : 11/16/1995 (US),Runtime : 2h 10m,"Genres : Adventure,Action,Thriller",Characters : Ian Fleming,Original Language : English,"Budget : $352,194,034.00","Introduction : When a powerful Russian satellite weapon is hijacked by a mysterious crime syndicate, it's up to James Bond, with the help of programmer Natalya Simonova, to find the culprits and save the world from disaster."
